,lien,type de bien,nb de pièces,taille,carrez,prix,nom_ville,code_postal,nom_x,code_insee,code,nom_y,geometry,prix/m²
40,https://www.paruvendu.fr/immobilier/vente/appartement/t3/1262413426A1KIVHAP000,Appartement,3,57,False,268000,Colombes,92700,Colombes,92025,92025,Colombes,"POLYGON ((2.2730393470107 48.933837649862, 2.2733089177318 48.926851735489, 2.2678818361228 48.925058765541, 2.2574119250256 48.913558720877, 2.2498359039144 48.912658069894, 2.2290994841599 48.906027032338, 2.2239863988558 48.918098848983, 2.22039813682 48.92061341599, 2.231140371461 48.927732507513, 2.2475913259381 48.93673190225, 2.2559162610429 48.937147189735, 2.2730393470107 48.933837649862))",4701.8
41,https://www.paruvendu.fr/immobilier/vente/maison/maison/1262035156A1KIVHMN000,Maison,5,130,False,444900,Champagne-sur-Oise,95660,Champagne-sur-Oise,95134,95134,Champagne-sur-Oise,"POLYGON ((2.2636155928769 49.135934352853, 2.2569667149252 49.131841125416, 2.2350466747776 49.130342487643, 2.2174527479679 49.124161982574, 2.2118904536772 49.131017549568, 2.2090343522459 49.14578134678, 2.1984588153662 49.15660507683, 2.196877161412 49.16701608418, 2.2062414509947 49.158462054196, 2.2163546658105 49.154378017348, 2.2230049777895 49.151869445673, 2.2415798466453 49.151570720338, 2.2527657983824 49.146942817298, 2.2636155928769 49.135934352853))",3422.3
42,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1262950886A1KIVHAP000,Appartement,2,40,False,350000,Boulogne-Billancourt,92100,Boulogne-Billancourt,92012,92012,Boulogne-Billancourt,"POLYGON ((2.2242191058804 48.853516917557, 2.2506124417162 48.845554851211, 2.2551442384175 48.834809549369, 2.2627915245265 48.833923373524, 2.25169395441 48.825751017648, 2.2361072489474 48.821548554448, 2.232638353852 48.822737823569, 2.2240496902355 48.835149697724, 2.2242191058804 48.853516917557))",8750.0
43,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1260517860A1KIVHAP000,Appartement,2,37,False,117000,Marcoussis,91460,Marcoussis,91363,91363,Marcoussis,"POLYGON ((2.2020180725158 48.6284236569, 2.1878868637167 48.638609016936, 2.181789626311 48.631859417897, 2.1649714134083 48.644337192173, 2.1771053610034 48.655997672066, 2.1866551963722 48.661178816769, 2.1912669571129 48.668263319606, 2.1954592718372 48.668879969718, 2.2084347995725 48.666148655709, 2.2222888793489 48.66076899274, 2.2214967262887 48.656698893685, 2.2402418024139 48.645099976395, 2.2485163458219 48.645600413352, 2.2529345293488 48.639347690701, 2.2390561457241 48.632074376415, 2.2254920019639 48.628583098757, 2.205132142712 48.630854353695, 2.2029686516757 48.628379646794, 2.2020180725158 48.6284236569))",3162.2
44,https://www.paruvendu.fr/immobilier/vente/appartement/t2/1260649764A1KIVHAP000,Appartement,2,56,False,560000,Paris,75017,Paris,75117,75117,Paris 17e  Arrondissement,"POLYGON ((2.2844595717547 48.885639278202, 2.3037743623516 48.894153778949, 2.3198871747441 48.90045978209, 2.3299805220467 48.901163282127, 2.3260974369951 48.889111262565, 2.3271206970663 48.883485416617, 2.2981403262665 48.87804262556, 2.2951453922338 48.873861979677, 2.2799493325675 48.878573123982, 2.2844595717547 48.885639278202))",10000.0
45,https://www.paruvendu.fr/immobilier/vente/appartement/studette-au-coeur-du-20e/1262950872A1KIVHAP000,Appartement,1,10,False,95000,Paris,75020,Paris,75120,75120,Paris 20e  Arrondissement,"POLYGON ((2.4132704497803 48.873116980044, 2.4153151254188 48.855173471685, 2.4163411302989 48.849233783552, 2.4159711107696 48.846622956277, 2.3991184448726 48.848094484736, 2.3943004420294 48.856491711482, 2.3770153520998 48.87192112928, 2.4106903466383 48.878475106516, 2.4132704497803 48.873116980044))",9500.0
46,https://www.paruvendu.fr/immobilier/vente/appartement/beau-studio-au-pied-du-metro-passy/1262950873A1KIVHAP000,Appartement,1,16,False,238000,Paris,75016,Paris,75116,75116,Paris 16e  Arrondissement,"POLYGON ((2.225670292257 48.859404562396, 2.2317363597469 48.86906858161, 2.2457037884056 48.876459232476, 2.2548171406686 48.874080881369, 2.2584671711142 48.880387263086, 2.2799493325675 48.878573123982, 2.2951453922338 48.873861979677, 2.3015562721716 48.863475234966, 2.2897782765961 48.858123113769, 2.2724846953815 48.843681568601, 2.2627915245265 48.833923373524, 2.2551442384175 48.834809549369, 2.2506124417162 48.845554851211, 2.2242191058804 48.853516917557, 2.225670292257 48.859404562396))",14875.0
47,https://www.paruvendu.fr/immobilier/vente/appartement/paris-13eme/1262950870A1KIVHAP000,Appartement,2,51,False,505900,Paris,75013,Paris,75113,75113,Paris 13e  Arrondissement,"POLYGON ((2.365950820881 48.844908659278, 2.3900720145113 48.82569232682, 2.3642042811729 48.816398323996, 2.3564647458137 48.815954893718, 2.3439025047441 48.815767001297, 2.3414937722336 48.828568124075, 2.3420384635948 48.838296917933, 2.3517180689518 48.836813651152, 2.3613870338288 48.839822776185, 2.365950820881 48.844908659278))",9919.6
48,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-en-residence-services-studio-21-m2/1262950838A1KIVHAP000,Appartement,1,21,False,69500,Chevilly-Larue,94550,Chevilly-Larue,94021,94021,Chevilly-Larue,"POLYGON ((2.332679146742 48.764595231499, 2.3337748261444 48.770742613871, 2.3548760834227 48.774732227727, 2.3672764992453 48.779373862747, 2.3678256238607 48.771903535588, 2.3686208217523 48.757461210608, 2.3531475203595 48.759939077397, 2.3438906252819 48.756204514892, 2.332679146742 48.764595231499))",3309.5
50,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-en-residence-services-studio-43-80-m/1262950836A1KIVHAP000,Appartement,3,43,False,131900,Seine-Port,77240,Seine-Port,77447,77447,Seine-Port,"POLYGON ((2.5489856479877 48.537292612695, 2.5374885419243 48.539658420307, 2.5305345061402 48.544254996782, 2.5315144442073 48.553152935888, 2.5466547039455 48.563419867268, 2.5478955662123 48.568514294406, 2.556163246957 48.571595816729, 2.5603588135487 48.566226650568, 2.5666370009552 48.563745314205, 2.5675568963563 48.555245997156, 2.5841348641307 48.553189336254, 2.5820739534246 48.546892330098, 2.5624135558405 48.543335768149, 2.5608914777961 48.535652264832, 2.5489856479877 48.537292612695))",3067.4
56,https://www.paruvendu.fr/immobilier/vente/maison/centre-village-maison-renovee-avec-cour-interieure/1254758044A1KIVHMN000,Maison,4,106,False,123500,La Ferté-sous-Jouarre,77260,La Ferté-sous-Jouarre,77183,77183,Ferté-sous-Jouarre,"POLYGON ((3.1405620410595 48.958937493548, 3.141245548269 48.952165407124, 3.1560929304911 48.946742526523, 3.167052896279 48.94708565595, 3.1332781955224 48.935535697923, 3.1170546223205 48.936267549625, 3.1169975068921 48.946073053292, 3.1027867986108 48.950209124419, 3.1108992702118 48.960276985494, 3.1040818303798 48.967609148675, 3.1124723612299 48.970970084399, 3.1186252870615 48.976187756099, 3.1293015578098 48.977060658937, 3.129906398742 48.972014456108, 3.1405620410595 48.958937493548))",1165.1
61,https://www.paruvendu.fr/immobilier/vente/appartement/dpt-seine-et-marne-77-a-vendre-coulommiers-appartement-t3/1262950733A1KIVHAP000,Appartement,3,56,False,231200,Coulommiers,77120,Coulommiers,77131,77131,Coulommiers,"POLYGON ((3.0847072352871 48.787734840404, 3.0843350158278 48.794073891682, 3.0734108464137 48.796892532453, 3.0701490984093 48.801946236351, 3.073913058534 48.816986649364, 3.0726628424378 48.824778484961, 3.0873424703077 48.83174218016, 3.1060917766965 48.832826913171, 3.1112078273071 48.825513297902, 3.1142099954431 48.811283610098, 3.1048427162437 48.809187691664, 3.1031156897085 48.794493560012, 3.0847072352871 48.787734840404))",4128.6
69,https://www.paruvendu.fr/immobilier/vente/appartement/dpt-paris-75-paris-11eme-quartier-belleville-appartemen/1262950696A1KIVHAP000,Appartement,2,27,False,265000,Paris,75011,Paris,75111,75111,Paris 11e  Arrondissement,"POLYGON ((2.3770153520998 48.87192112928, 2.3943004420294 48.856491711482, 2.3991184448726 48.848094484736, 2.3690196371168 48.853221440745, 2.3684085721728 48.855737300049, 2.3638513390126 48.867431638281, 2.3770153520998 48.87192112928))",9814.8
72,https://www.paruvendu.fr/immobilier/vente/maison/dpt-seine-et-marne-77-a-vendre-coulommiers-maison-p4-de-7/1262950675A1KIVHMN000,Maison,4,74,False,253200,Coulommiers,77120,Coulommiers,77131,77131,Coulommiers,"POLYGON ((3.0847072352871 48.787734840404, 3.0843350158278 48.794073891682, 3.0734108464137 48.796892532453, 3.0701490984093 48.801946236351, 3.073913058534 48.816986649364, 3.0726628424378 48.824778484961, 3.0873424703077 48.83174218016, 3.1060917766965 48.832826913171, 3.1112078273071 48.825513297902, 3.1142099954431 48.811283610098, 3.1048427162437 48.809187691664, 3.1031156897085 48.794493560012, 3.0847072352871 48.787734840404))",3421.6
82,https://www.paruvendu.fr/immobilier/vente/appartement/dpt-seine-et-marne-77-a-vendre-coulommiers-appartement-t3/1262950673A1KIVHAP000,Appartement,3,63,False,250200,Coulommiers,77120,Coulommiers,77131,77131,Coulommiers,"POLYGON ((3.0847072352871 48.787734840404, 3.0843350158278 48.794073891682, 3.0734108464137 48.796892532453, 3.0701490984093 48.801946236351, 3.073913058534 48.816986649364, 3.0726628424378 48.824778484961, 3.0873424703077 48.83174218016, 3.1060917766965 48.832826913171, 3.1112078273071 48.825513297902, 3.1142099954431 48.811283610098, 3.1048427162437 48.809187691664, 3.1031156897085 48.794493560012, 3.0847072352871 48.787734840404))",3971.4
90,https://www.paruvendu.fr/immobilier/vente/appartement/dpt-paris-75-a-vendre-paris-18eme-arrondissement-appartem/1260845674A1KIVHAP000,Appartement,2,24,False,335000,Paris,75018,Paris,75118,75118,Paris 18e  Arrondissement,"POLYGON ((2.3646776664012 48.884291351874, 2.3495508401232 48.883620167912, 2.3379555061118 48.882249883375, 2.3271206970663 48.883485416617, 2.3260974369951 48.889111262565, 2.3299805220467 48.901163282127, 2.3518739447639 48.901522076927, 2.365846786 48.901609465126, 2.3702905140491 48.901653595285, 2.3698082422377 48.893376450644, 2.3646776664012 48.884291351874))",13958.3
95,https://www.paruvendu.fr/immobilier/vente/maison/seine-et-marne-77-maison-contemporaine-4ch-au-calme-gare/1262950667A1KIVHMN000,Maison,6,143,False,580000,Bussy-Saint-Georges,77600,Bussy-Saint-Georges,77058,77058,Bussy-Saint-Georges,"POLYGON ((2.7280140486001 48.797299023507, 2.72119464616 48.806039582495, 2.7295039405809 48.814514487729, 2.7233240267127 48.820692425166, 2.7285049612519 48.826435875926, 2.7206490733273 48.829095147848, 2.6899623824408 48.830630269277, 2.6744587511571 48.840266033993, 2.66838349084 48.840909463624, 2.6699227731161 48.847845822981, 2.6844038154799 48.83907497594, 2.6986351037322 48.84909881904, 2.7180541282294 48.848993269318, 2.7307540921015 48.851962436095, 2.7320737309551 48.85266507669, 2.7427018381582 48.847204281947, 2.7468889529183 48.842776794312, 2.7489942063147 48.829166989472, 2.7480768671436 48.820833473674, 2.7509532825076 48.814568285002, 2.749208754651 48.805521545155, 2.7280140486001 48.797299023507))",4055.9
97,https://www.paruvendu.fr/immobilier/vente/appartement/studio-sur-cour-la-garenne-colombes/1262338124A1KIVHAP000,Appartement,1,28,False,225000,La Garenne-Colombes,92250,La Garenne-Colombes,92035,92035,Garenne-Colombes,"POLYGON ((2.2290994841599 48.906027032338, 2.2498359039144 48.912658069894, 2.2574119250256 48.913558720877, 2.2582157919968 48.906076886413, 2.2316290145216 48.900651830427, 2.2290994841599 48.906027032338))",8035.7
98,https://www.paruvendu.fr/immobilier/vente/maison/dpt-yvelines-78-a-vendre-proche-de-rambouillet-maison-p4/1262950665A1KIVHMN000,Maison,4,92,False,359000,Rambouillet,78120,Rambouillet,78517,78517,Rambouillet,"POLYGON ((1.7859794841518 48.67455715278, 1.8034560057475 48.684263807875, 1.8125948866499 48.688035247262, 1.8343043695201 48.676713532553, 1.8482684365767 48.67848823726, 1.8441325870254 48.66372057481, 1.8554316751206 48.661339607819, 1.8729439262717 48.661452516279, 1.8853183912765 48.654717794354, 1.9027675407358 48.650870356048, 1.88388327289 48.644597667876, 1.8770502870517 48.63507887111, 1.8575963226237 48.634103161805, 1.8309317348612 48.620265032595, 1.8275521483848 48.619217055414, 1.8250899328513 48.635216442632, 1.8177359797963 48.634567045778, 1.8010939491322 48.639514919023, 1.785981474639 48.637144371495, 1.7730834596829 48.638387722196, 1.7651866722205 48.652292147907, 1.7872771486661 48.664111016879, 1.7859794841518 48.67455715278))",3902.2
101,https://www.paruvendu.fr/immobilier/vente/beau-studio-meuble-et-equipe-21-5-m2-paris-15e-sud/particulier/1260775739A1KIVHAP000,Appartement,1,22,False,244500,Paris,75015,Paris,75115,75115,Paris 15e  Arrondissement,"POLYGON ((2.2897782765961 48.858123113769, 2.3021915203793 48.850344748998, 2.3166281602877 48.846752387477, 2.3246635446251 48.843518038723, 2.3013154184885 48.825125760842, 2.2893937776751 48.828352646104, 2.2790519306533 48.832489952145, 2.2727931901868 48.827920084226, 2.2627915245265 48.833923373524, 2.2724846953815 48.843681568601, 2.2897782765961 48.858123113769))",11113.6
