,nb_de_pieces,superficie,carrez,prix,code_postal,id_local,id_type
147,4,102,False,324000,93290,442.0,5.0
148,3,62,False,179000,95510,489.0,5.0
149,4,69,False,285000,77600,36.0,0.0
150,3,78,False,329000,92700,390.0,0.0
151,3,60,False,265000,77330,128.0,0.0
152,3,80,False,212000,77650,157.0,5.0
153,3,45,False,169000,91470,291.0,0.0
154,4,101,False,271000,77124,125.0,5.0
155,4,80,False,272000,78120,266.0,0.0
156,2,42,False,498000,75011,10.0,0.0
157,3,53,False,565000,92300,397.0,0.0
158,4,97,False,1280000,75017,16.0,0.0
159,1,36,False,425000,92200,403.0,0.0
160,6,158,False,1960000,75016,15.0,0.0
161,5,140,False,1780000,75017,16.0,0.0
162,2,36,False,459000,75017,16.0,0.0
163,2,45,False,480000,75016,15.0,0.0
164,7,255,False,2860000,75017,16.0,0.0
165,2,36,False,358000,92300,397.0,0.0
166,3,51,False,666000,75017,16.0,0.0
167,1,16,False,190000,75017,16.0,0.0
168,5,130,False,1760000,75008,7.0,0.0
169,1,27,False,204500,92320,386.0,0.0
170,6,133,False,1140000,92320,386.0,5.0
171,6,143,False,1228000,92320,386.0,5.0
172,2,20,False,152000,92320,386.0,0.0
173,2,47,False,336000,92320,386.0,0.0
174,4,69,False,480000,92110,389.0,0.0
175,4,90,False,333000,93350,420.0,0.0
176,2,49,False,149500,91100,313.0,0.0
177,4,90,False,265000,77260,78.0,5.0
178,6,173,False,499000,78910,260.0,5.0
179,3,80,False,270000,78400,209.0,0.0
180,4,105,False,368000,77340,135.0,5.0
181,3,59,False,238000,95130,517.0,0.0
182,4,107,False,439000,93360,431.0,5.0
183,4,90,False,335000,78170,205.0,0.0
184,2,52,False,159000,78990,219.0,0.0
185,4,72,False,206000,93220,426.0,0.0
186,3,58,False,226000,93600,415.0,0.0
187,4,98,False,740000,93100,430.0,5.0
188,3,69,False,264000,94360,451.0,0.0
189,3,65,False,160000,77310,145.0,0.0
190,6,205,False,440000,77515,39.0,5.0
191,1,20,False,120000,77700,105.0,0.0
192,4,95,False,495000,92160,380.0,0.0
193,4,132,False,184000,77460,41.0,5.0
194,4,84,False,185000,77390,49.0,0.0
195,3,59,False,235000,93000,418.0,0.0
196,6,126,False,625000,77500,50.0,5.0
197,2,29,False,359000,75018,17.0,0.0
198,6,161,False,509000,78550,235.0,5.0
199,1,35,False,158000,91330,379.0,0.0
200,1,35,False,175000,94320,481.0,0.0
201,3,64,False,241000,95310,552.0,0.0
202,2,45,False,162000,91150,321.0,5.0
203,10,140,False,469000,91360,320.0,5.0
204,4,100,False,575000,95110,555.0,5.0
205,3,72,False,325000,95870,496.0,0.0
206,5,138,False,585000,78630,259.0,5.0
207,7,190,False,513500,91580,376.0,5.0
208,5,86,False,299000,91310,349.0,5.0
209,4,105,False,320000,91160,339.0,5.0
210,4,67,False,195600,91700,361.0,0.0
211,5,94,False,240000,77120,58.0,5.0
212,2,31,False,122000,91780,309.0,5.0
213,7,215,False,425000,77100,123.0,5.0
214,6,126,False,360000,77390,129.0,5.0
215,3,64,False,174000,91150,351.0,0.0
216,5,82,False,349000,94270,465.0,0.0
217,4,97,False,474000,78700,215.0,5.0
218,2,48,False,239000,93160,433.0,0.0
219,5,92,False,225000,91170,377.0,0.0
220,5,125,False,325000,91650,304.0,5.0
221,6,111,False,395000,77680,142.0,5.0
222,6,150,False,362800,91680,306.0,5.0
223,4,78,False,499000,94200,463.0,0.0
224,4,62,False,250000,78580,247.0,5.0
225,3,59,False,311000,77500,50.0,5.0
226,3,60,False,189000,77340,135.0,0.0
227,4,110,False,429000,95320,550.0,5.0
